word_id,sentence_id,sentence,context,word,label,special_tags,is_correct,corrected_label,corrected_special_tags,is_dirty,notes
12595,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",Sana ako mapili,Sana,FIL,,T,,,F,
12596,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",Sana ako mapili hindi,ako,FIL,,T,,,F,
12597,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",Sana ako mapili hindi pa,mapili,FIL,,T,,,F,
12598,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",ako mapili hindi pa ako,hindi,FIL,,T,,,F,
12599,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",mapili hindi pa ako nakatikim,pa,FIL,,T,,,F,
12600,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",hindi pa ako nakatikim ng,ako,FIL,,T,,,F,
12601,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",pa ako nakatikim ng ham,nakatikim,FIL,,T,,,F,
12602,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko","ako nakatikim ng ham ,",ng,FIL,,T,,,F,
12603,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko","nakatikim ng ham , kahit",ham,ENG,,T,,,F,
12604,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko","ng ham , kahit ham",",",SYM,,T,,,F,
12605,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko","ham , kahit ham lang",kahit,FIL,,T,,,F,
12606,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",", kahit ham lang sa",ham,ENG,,T,,,F,
12607,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",kahit ham lang sa pasko,lang,FIL,,T,,,F,
12608,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",ham lang sa pasko,sa,FIL,,T,,,F,
12609,780,"Sana ako mapili hindi pa ako nakatikim ng ham , kahit ham lang sa pasko",lang sa pasko,pasko,FIL,NE,T,,,F,should be capitalized
12610,782,"sa sobrang tambak ng gawain , nalimutan ko na .",sa sobrang tambak,sa,FIL,,T,,,F,
12611,782,"sa sobrang tambak ng gawain , nalimutan ko na .",sa sobrang tambak ng,sobrang,FIL,,T,,,F,
12612,782,"sa sobrang tambak ng gawain , nalimutan ko na .",sa sobrang tambak ng gawain,tambak,FIL,,T,,,F,
12613,782,"sa sobrang tambak ng gawain , nalimutan ko na .","sobrang tambak ng gawain ,",ng,FIL,,T,,,F,
12614,782,"sa sobrang tambak ng gawain , nalimutan ko na .","tambak ng gawain , nalimutan",gawain,FIL,,T,,,F,
12615,782,"sa sobrang tambak ng gawain , nalimutan ko na .","ng gawain , nalimutan ko",",",SYM,,T,,,F,
12616,782,"sa sobrang tambak ng gawain , nalimutan ko na .","gawain , nalimutan ko na",nalimutan,FIL,,T,,,F,
12617,782,"sa sobrang tambak ng gawain , nalimutan ko na .",", nalimutan ko na .",ko,FIL,,T,,,F,
12618,782,"sa sobrang tambak ng gawain , nalimutan ko na .",nalimutan ko na .,na,FIL,,T,,,F,
12619,782,"sa sobrang tambak ng gawain , nalimutan ko na .",ko na .,.,SYM,,T,,,F,
12620,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,waahh ang saya,waahh,UNK,EXPR,T,,,F,
12621,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,waahh ang saya ng,ang,FIL,,T,,,F,
12622,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,waahh ang saya ng vlog,saya,FIL,,T,,,F,
12623,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,ang saya ng vlog nyo,ng,FIL,,T,,,F,
12624,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,saya ng vlog nyo ni,vlog,ENG,,T,,,F,
12625,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,ng vlog nyo ni Ion,nyo,FIL,,T,,,F,niyo (correct spelling)
12626,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,vlog nyo ni Ion Meme,ni,FIL,,T,,,F,
12627,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,nyo ni Ion Meme katuwa,Ion,UNK,NE,T,,,F,
12628,784,waahh ang saya ng vlog nyo ni Ion Meme katuwa ka Noy luv u both,ni Ion Meme katuwa ka,Meme,UNK,NE,T,,,F,
